,action,cost,state
0,[1.],12.533740416935267,[ 0.63457912  0.86877068  3.0380294  -1.10787405]
1,[1.],8.252501098652887,[ 1.15945233  0.647153    2.1158418  -0.91726683]
2,[1.],4.692473936047364,[1.45764148 0.55772815 0.83729037 0.10529576]
3,[1.],2.8319532522604045,[ 1.48966217  0.70576378 -0.51927758  1.38468835]
4,[1.],2.238758979267913,[ 1.25200296  1.10179273 -1.84306574  2.50628966]
5,[0.74633306],2.5857039294589006,[ 0.76523008  1.65387979 -2.98236281  2.85777151]
6,[0.51672061],3.8850644908957195,[ 0.09016583  2.1696736  -3.6502195   2.13328408]
7,[0.94319788],5.570255722584118,[-0.63388465  2.46162368 -3.42200936  0.6888401 ]
8,[-1.],6.510703290078037,[-1.2042326   2.38082106 -2.15548056 -1.52879632]
9,[-1.],7.521232202125948,[-1.45539146  1.84616641 -0.27714743 -3.8254152 ]
10,[0.80466303],9.240159251596195,[-1.31550572  0.88590912  1.65323585 -5.78982782]
11,[1.],9.996096802322796,[-0.84252746 -0.40923756  2.85045383 -6.74805288]
12,[1.],8.875784793498466,[-0.25777046 -1.6363651   2.93152553 -5.36304751]
13,[0.58000211],7.018399606106112,[ 0.32649833 -2.56685691  2.8511033  -3.97754777]
14,[0.79782819],5.41273449422465,[ 0.83867058  3.04715676  2.16339601 -2.73387443]
15,[1.],3.735892247198087,[ 1.15965168  2.6305636   1.005335   -1.40804416]
16,[-1.],2.5687826719460074,[ 1.24610062  2.45313895 -0.14600185 -0.35849299]
17,[-0.97740741],2.1624223611620565,[ 1.10157022  2.48295946 -1.29075822  0.62288122]
18,[-0.61933094],2.3984698370296815,[ 0.73588287  2.6874043  -2.3240751   1.34834516]
19,[0.93558308],3.170723875885147,[ 0.19159409  3.02023353 -3.01236926  1.89839669]
20,[1.],3.9369202368631364,[-0.41448444 -2.86451184 -2.90904318  2.01922878]
21,[1.],3.7046591087586664,[-0.92277918 -2.48400146 -2.08962585  1.71099965]
22,[1.],2.684890182991615,[-1.23038852 -2.20986526 -0.96302246  0.96924991]
23,[0.99645804],1.899270488966024,[-1.30422783 -2.11255772  0.22686319 -0.01084768]
24,[-0.00748035],1.692730815735592,[-1.13317929 -2.23045264  1.47526486 -1.12459425]
25,[-0.8027669],2.097665226371254,[-0.71713993 -2.55067733  2.63948211 -1.98691547]
26,[-1.],3.1033906224051226,[-0.10972605 -2.99240497  3.30975173 -2.35157925]
27,[-1.],3.979085985601118,[ 0.54357243  2.81697108  3.07132536 -2.33180351]
28,[-1.],3.5334248473941896,[ 1.0696648   2.38430663  2.11509904 -1.92130937]
29,[-0.16012595],2.3372692835578537,[ 1.36928718  2.09607492  0.86727571 -0.89828955]
30,[-0.9744032],1.5677675176347468,[ 1.4209713   2.02250925 -0.35075471  0.17283149]
31,[-0.85835108],1.4268021634876065,[ 1.22859702  2.16054706 -1.56760001  1.16093929]
32,[1.],1.8660772610137546,[ 0.78740931  2.49629483 -2.80350755  2.0971059 ]
33,[1.],2.9438464958105754,[ 0.13986814  2.9593909  -3.54337273  2.4497993 ]
34,[1.],3.9645999561194225,[-0.56279591 -2.83223709 -3.31947952  2.4131954 ]
35,[0.95966852],3.5257990382593936,[-1.13499465 -2.38526365 -2.32494254  1.98029851]
36,[0.78258383],2.228984902445557,[-1.47768205 -2.07539286 -1.09239506  1.05168845]
37,[1.],1.3840364942083765,[-1.57362106 -1.97764295  0.13154644 -0.09390302]
38,[0.05750136],1.1662347663656094,[-1.41777172 -2.13136992  1.4280559  -1.40940836]
39,[0.73045266],1.5235780180714675,[-1.0085599  -2.50390258  2.64398869 -2.24184734]
40,[0.9901651],2.563416304546741,[-0.38442011 -2.99243381  3.49019746 -2.57826754]
41,[0.98001605],3.820314894908213,[ 0.32426587  2.76822858  3.4255312  -2.59918977]
42,[0.6938845],3.7989516656386715,[ 0.92660916  2.27390319  2.49740339 -2.25145904]
43,[-1.],2.5673139051250247,[ 1.3129923   1.8715512   1.34459719 -1.68955767]
44,[0.96508685],1.5772345990081924,[ 1.44561428  1.66863133 -0.02237137 -0.3039155 ]
45,[0.72576106],1.2661409049372327,[ 1.30598202  1.74278877 -1.36921744  1.00136394]
46,[0.97138168],1.6028443827312466,[ 0.90142883  2.04072157 -2.64447917  1.85392827]
47,[0.45391918],2.6906262699251235,[ 0.27721599  2.41416448 -3.49203252  1.72697527]
48,[1.],4.249643305923831,[-0.44015721  2.68634693 -3.52123194  0.876206  ]
49,[1.],5.196030410002653,[-1.07126075  2.72717392 -2.67493456 -0.53451461]
50,[0.63430588],5.73125425890705,[-1.47419386  2.45002602 -1.28792712 -2.24841421]
51,[-1.],7.05928428544067,[-1.55161722  1.7943191   0.56663592 -4.33247458]
52,[-1.],8.939323312221271,[-1.23369876  0.68598319  2.60462824 -6.82821908]
53,[-0.38493064],10.140822095414341,[-0.58520182 -0.80998946  3.58454273 -7.51358684]
54,[0.99314253],9.049896193955657,[ 0.1129251  -2.10946923  3.38303562 -5.48321226]
55,[1.],6.659644933035013,[ 0.74890749 -3.04166734  2.86758008 -3.92453821]
56,[1.],4.29141692530504,[ 1.21577297  2.58770058  1.73516885 -2.6128378 ]
57,[0.9963579],2.429778375038704,[ 1.43205201  2.208217    0.41848497 -1.1518518 ]
58,[1.],1.5878097286222272,[ 1.38148239  2.1320848  -0.92621007  0.37499961]
59,[1.],1.5789772817507928,[ 1.06264431  2.33909735 -2.24741929  1.61686815]
60,[1.],2.311044328784041,[ 0.49839205  2.73980525 -3.31494729  2.28908658]
61,[1.],3.545745183831778,[-0.21056782 -3.06205055 -3.6099202   2.46209749]
62,[0.92673966],3.9461186230334553,[-0.87702941 -2.58282309 -2.92494196  2.26527071]
63,[1.],2.854939108327195,[-1.34925322 -2.18641893 -1.76313152  1.61804694]
64,[0.98116374],1.6806137668316257,[-1.57868987 -1.96315147 -0.53231336  0.5681085 ]
65,[1.],1.1473460838163976,[-1.56311369 -1.96731829  0.68839153 -0.60614722]
66,[0.92131548],1.1714443960241259,[-1.30190447 -2.19561897  1.92296831 -1.62150104]
67,[-0.85835853],1.7644890835172993,[-0.78712733 -2.62174711  3.17909209 -2.54489108]
68,[0.9699821],3.032441394637338,[-0.08109606  3.13783754  3.73030185 -2.6358896 ]
69,[-1.],4.001244968302221,[ 0.6429372   2.58749083  3.34555299 -2.8160729 ]
70,[0.31764143],3.25543167067074,[ 1.20176673  2.06971076  2.18326111 -2.26265701]
71,[1.],1.874527115042445,[ 1.50188426  1.73703023  0.81045676 -0.98602193]
72,[0.9930067],1.1525945699023232,[ 1.52509607  1.69269303 -0.57881919  0.54878126]
73,[0.98867498],1.09953238542732,[ 1.27083097  1.94331886 -1.95844283  1.88661874]
74,[0.93978246],1.6851109319481408,[ 0.74904319  2.4053196  -3.21388616  2.61308369]
75,[1.],3.0012869206561503,[ 0.02312497  2.94571723 -3.89480077  2.70950652]
76,[1.],4.058681325967856,[-0.73341128 -2.81504191 -3.49997618  2.47249695]
77,[1.],3.3289004917196587,[-1.32808941 -2.37230523 -2.38673293  1.8814548 ]
78,[1.],1.938889744626122,[-1.68150068 -2.09184475 -1.15210826  0.86287218]
79,[1.],1.1718668758188688,[-1.79293366 -2.04307046  0.03057355 -0.39477009]
80,[-0.66072167],1.0226358710978256,[-1.65766065 -2.28573398  1.3259251  -2.0098963 ]
81,[0.64339517],1.4831146658773462,[-1.26843448 -2.80720367  2.56344536 -3.17883941]
82,[1.],2.900854791399136,[-0.65143037  2.73328739  3.50481994 -4.28926962]
83,[0.84782827],5.3181648205910355,[ 0.07933993  1.73001776  3.70364018 -5.80611518]
84,[-0.47330017],7.62063219602865,[ 0.82403303  0.37744266  3.65820193 -7.49045388]
85,[-0.61123258],9.2431133371037,[ 1.44309896 -1.03062027  2.31295231 -6.14544257]
86,[-0.84621462],9.26277400012241,[ 1.72118691 -2.06701467  0.46950609 -4.3019368 ]
87,[1.],7.789518351743822,[ 1.63287356 -2.73270523 -1.28750889 -2.37528384]
88,[0.95752601],5.720270781724653,[ 1.23008445 -3.0209567  -2.69157555 -0.53077481]
89,[0.50536732],4.476839895476627,[ 0.58115302 -2.97334958 -3.70953434  0.93254949]
90,[0.37676827],4.4256791893632315,[-0.1982661  -2.68595206 -3.91734544  1.83964427]
91,[1.],4.053570025146207,[-0.92153454 -2.27073127 -3.18733449  2.18549869]
92,[1.],2.578857556539492,[-1.44342342 -1.86396982 -2.00272707  1.76375321]
93,[1.],1.3012928430705715,[-1.72125144 -1.60188437 -0.78089797  0.79541686]
94,[1.],0.7509013275478064,[-1.75787808 -1.55866625  0.41312577 -0.3704135 ]
95,[-0.72414723],0.6876931788996494,[-1.53960471 -1.78482747  1.7740015  -1.83703775]
96,[-0.39350054],1.098000504151065,[-1.0502708  -2.25148588  3.1054838  -2.71827156]
97,[-0.99969243],2.2805077071698565,[-0.31513917 -2.83916787  4.12529472 -3.06599796]
98,[-0.99094303],3.8057536048018408,[ 0.52348974  2.82444713  4.05319132 -3.10970167]
99,[-0.9736573],3.5618765816089035,[ 1.2375766   2.21663094  2.99575046 -2.8960141 ]
100,[-0.94706234],1.8921507950434053,[ 1.71100008  1.70247772  1.74623573 -2.1622992 ]
101,[-0.72694022],0.8045888510218926,[ 1.94071805  1.38121836  0.56441579 -1.01331333]
102,[1.],0.4285999547520081,[ 1.92217436  1.3492444  -0.75272051  0.6897268 ]
103,[0.99998997],0.4411930067338058,[ 1.63654029  1.64423331 -2.11405608  2.19280614]
104,[0.99981904],0.8910858310400799,[ 1.07331123  2.18504497 -3.50915554  3.08150785]
105,[1.],2.2023334999581468,[ 0.25558083  2.82512963 -4.53314331  3.22424381]
106,[0.96789293],3.8784157074854795,[-0.65468971 -2.8241046  -4.34799514  3.10851829]
107,[0.98208331],3.4208452717236404,[-1.41644888 -2.22742099 -3.19215768  2.78926339]
108,[0.75706227],1.6313593979434051,[-1.9270245  -1.74694237 -1.93936404  1.9381445 ]
109,[1.],0.6235532983353003,[-2.20730213 -1.46737231 -0.893154    0.8273474 ]
110,[1.],0.2963341797714868,[-2.29256383 -1.42170359  0.02847029 -0.3761192 ]
111,[1.],0.24883432671991462,[-2.19646969 -1.61817978  0.9409916  -1.5839429 ]
112,[1.],0.399976586312575,[-1.90840945 -2.05055841  1.96973677 -2.71723758]
113,[-1.],0.9694886167572789,[-1.38072684 -2.73482946  3.32311891 -4.09532398]
114,[-1.],2.6468087768717794,[-0.59704243  2.58212169  4.38273683 -5.69489354]
115,[-1.],5.878046763391712,[ 0.31836815  1.19238026  4.75694693 -8.38390112]
116,[-1.],9.058651127792501,[ 1.26354287 -0.65076226  4.31228452 -9.07872428]
117,[-0.99707549],9.737481494571625,[ 1.9235185  -2.18965325  2.31849973 -6.49875342]
118,[1.],6.860947310040907,[ 2.22817551  2.97405088  0.90401554 -4.8330616 ]
119,[-0.94378719],3.4575100597556925,[ 2.35336072  2.10158077  0.42897636 -3.91984156]
120,[-0.22647121],1.082196701600488,[ 2.39966215  1.41718235  0.01036792 -2.92559298]
121,[-1.],0.2325988024983245,[ 2.35311553  0.9073059  -0.50290425 -2.19545076]
122,[-1.],0.09127985264299604,[ 2.18840839  0.52721461 -1.17023361 -1.63712664]
123,[0.98473576],0.2603769948451261,[ 1.84687847  0.30962061 -2.27850845 -0.55388301]
124,[-0.98469128],1.3797476617355295,[ 1.29631643  0.22779718 -3.21642692 -0.30947575]
125,[-1.],5.371789389731856,[ 0.57985125  0.15794257 -3.86037968 -0.46684679]
126,[-1.],12.791341683512046,[-0.1991448   0.01128264 -3.81303318 -1.01964948]
127,[-1.],15.702530531212801,[-0.90533357 -0.24338745 -3.18549036 -1.48478744]
128,[-1.],9.163199567764357,[-1.45902415 -0.57244572 -2.33455658 -1.81641009]
129,[-1.],2.778849153878044,[-1.83929539 -0.9863011  -1.48283386 -2.37869978]
130,[0.84639529],0.615013771603812,[-2.08084566 -1.49548522 -0.95451954 -2.78069499]
131,[1.],0.36578227929964907,[-2.2349136  -2.11445178 -0.61642523 -3.44278625]
132,[-1.],1.0578808324249953,[-2.31847374 -2.92272287 -0.17037221 -4.65217475]
133,[1.],3.3290435736904453,[-2.2540695   2.33549883  1.00028017 -5.65337434]
134,[1.],5.594888567914622,[-1.87038419  1.05753585  2.87668495 -7.29426409]
135,[1.],5.723128793423632,[-1.13381861 -0.56723328  4.22755325 -8.39099441]
136,[0.59631168],5.259296285092985,[-0.25766723 -2.07475817  4.52167331 -6.55483136]
137,[1.],5.184208573199399,[ 0.64977582  3.05767008  4.3570505  -5.11865196]
138,[-0.33809256],3.8106475433311267,[ 1.4135007   2.0894976   3.19993002 -4.5945531 ]
139,[0.95250984],1.4914444094255446,[ 1.92328772  1.2661834   1.92571246 -3.56420386]
140,[1.],0.4302164471057788,[ 2.19039106  0.68864812  0.75590522 -2.18400982]
141,[-0.49750922],0.2057206169548237,[ 2.24819078  0.34016354 -0.16922363 -1.33204335]
142,[1.],0.2729097925912313,[ 2.10145241  0.19801505 -1.31382916 -0.09827396]
143,[-1.],0.6856202347081832,[ 1.74104317  0.230643   -2.30792072  0.4138875 ]
144,[-1.],2.0745694535004344,[ 1.17839503  0.3470664  -3.28246276  0.65578679]
145,[-0.18150123],5.893861679183045,[ 0.45273318  0.45573174 -3.83566873  0.23433172]
146,[-1.],12.34968511888022,[-0.2739587   0.33678097 -3.28954197 -1.48095104]
147,[-1.],15.687419904711415,[-0.830493   -0.11129163 -2.28931589 -2.81475547]
148,[1.],10.646240790055788,[-1.23603979 -0.6476727  -1.78225202 -2.48286193]
149,[1.],4.083247615782875,[-1.53704486 -1.12003423 -1.19876567 -2.33444365]
150,[1.],1.3198412269612423,[-1.70673782 -1.62204238 -0.48665743 -2.77489067]
151,[1.],0.777827534180319,[-1.73025667 -2.25742073  0.25890343 -3.63221563]
152,[1.],1.388379225507889,[-1.59210252 -3.09317332  1.1857902  -4.77693963]
153,[1.],3.8086863487259257,[-1.2206551   2.08268513  2.60800988 -6.45045562]
154,[-1.],8.96360575991163,[-0.50173426  0.45526352  4.54493428 -9.87865105]
155,[-1.],15.02081968550532,[ 0.40068501 -1.45635427  4.03860987 -8.27745872]
156,[0.99252881],11.651568925186297,[ 1.07816695 -2.81528172  2.77656801 -5.61468963]
157,[1.],5.324055615262668,[ 1.51092728  2.51108875  1.55672559 -4.02687192]
158,[0.52117327],2.024953230689163,[ 1.70958863  1.84132527  0.4373933  -2.66767989]
159,[-0.40624506],0.8916301607629739,[ 1.69296893  1.42048772 -0.60592738 -1.56750648]
160,[-0.99279095],0.7718094962820844,[ 1.47377369  1.17762939 -1.57045156 -0.94713792]
161,[-1.],1.4753184139853512,[ 1.07913211  0.99368032 -2.31078079 -1.04373709]
162,[-0.99839353],3.963681900999658,[ 0.58884485  0.69174969 -2.48025913 -2.11529314]
163,[-0.85778729],9.720230339380397,[ 0.12152028  0.1310002  -2.192776   -3.35802671]
164,[0.90263316],15.688818022738728,[-0.34172052 -0.47857798 -2.48316211 -2.50767462]
165,[1.],13.134698265579459,[-0.85880939 -0.83647605 -2.58312752 -1.14924943]
166,[1.],6.3967083687202715,[-1.32782835 -0.9997711  -2.01451602 -0.6489522 ]
167,[1.],2.4148655744739265,[-1.64058583 -1.15405309 -1.08099495 -1.00563963]
168,[1.],0.9798113741783947,[-1.75473745 -1.43369455 -0.05558222 -1.84311264]
169,[-0.92170714],0.6694367460990878,[-1.64642671 -1.94828236  1.13173431 -3.29134387]
170,[-1.],1.0513518543373206,[-1.30056117 -2.74382671  2.33444042 -4.65802955]
171,[0.92949511],2.7143883698311826,[-0.72888656  2.49220463  3.33240616 -5.93371453]
172,[-0.08442419],6.525888198717877,[ 0.02298384  1.06660909  4.20125155 -8.51859218]
173,[-0.35719346],11.989475037763965,[ 0.87847169 -0.76670741  3.8957802  -8.80816098]
174,[1.],13.192071943750872,[ 1.44652571 -2.19446666  1.82617907 -5.68762964]
175,[-0.76398895],8.162688153259365,[ 1.65481715  3.12101084  0.3520721  -4.08935658]
176,[-1.],3.9183191661910866,[ 1.62399682  2.42565977 -0.602843   -2.91527822]
177,[-1.],1.7730293119509775,[ 1.42460311  1.92905743 -1.37251872 -2.14078126]
178,[-1.],1.364399835957671,[ 1.08823103  1.51908928 -1.92820505 -2.12451533]
179,[1.],2.570935379605173,[ 0.67052233  1.05518355 -2.14716185 -2.68610943]
180,[-1.],6.912726597819829,[ 0.29323511  0.33709512 -1.61646658 -4.4219752 ]
181,[-1.],14.176329564266391,[-0.03788417 -0.56817508 -1.89462276 -4.17179925]
182,[-1.],14.601429232975406,[-0.50370408 -1.21578778 -2.68089759 -2.30993985]
183,[-1.],7.4400883015458765,[-1.04560637 -1.5602777  -2.58474374 -1.36248595]
184,[-0.21562578],2.6944244919968665,[-1.49925893 -1.83009757 -1.88883712 -1.5183306 ]
185,[1.],1.1860349054332793,[-1.80082679 -2.19357963 -1.12255809 -2.21036628]
