,action,cost,state
0,[-1.],16.0,[ 0.01326297 -0.03428723  0.12866185 -0.33450109]
1,[-1.],15.997528467300134,[ 0.04848965 -0.12748779  0.21328487 -0.57546306]
2,[-1.],15.965665450348697,[ 0.09351391 -0.25359241  0.22373703 -0.65672212]
3,[-0.02379583],15.863058541092713,[ 0.12001891 -0.34554545  0.03417352 -0.24527219]
4,[0.54068155],15.74092031212096,[ 0.0989123  -0.32935545 -0.24026443  0.40111521]
5,[0.49625149],15.750400601641765,[ 0.02901743 -0.1941281  -0.44116326  0.91921031]
6,[0.99373064],15.888030139416403,[-0.07480873  0.0375379  -0.5683662   1.3404146 ]
7,[-0.00809682],15.972081426226444,[-0.17187234  0.28096896 -0.37514025  1.03758892]
8,[-0.25854651],15.834996705496339,[-0.21324022  0.42619341 -0.02810862  0.3888777 ]
9,[-0.97807339],15.640137376416204,[-0.17308409  0.40807473  0.42070976 -0.56152746]
10,[-1.],15.662398522962324,[-0.05202749  0.21130594  0.76139021 -1.35912302]
11,[-1.],15.888107179088689,[ 0.11593481 -0.10778785  0.8727503  -1.74652872]
12,[-0.9439383],15.946076694839693,[ 0.27651141 -0.44752644  0.68959935 -1.5676638 ]
13,[0.84711731],15.582173716773646,[ 0.35562613 -0.65032774  0.08732628 -0.43259352]
14,[0.90890431],15.165708968271062,[ 0.30972818 -0.6149506  -0.53690414  0.77800425]
15,[1.],15.258371821526007,[ 0.14784249 -0.34647243 -1.04796113  1.85397757]
16,[0.95634728],15.756366878029882,[-0.08860425  0.08961551 -1.25217682  2.38619331]
17,[0.9750424],15.968628987749074,[-0.32416317  0.55291131 -1.0399305   2.12746114]
18,[0.98909747],15.381053548829541,[-0.48454544  0.90519143 -0.5324784   1.34330161]
19,[0.9608663],14.422617316703155,[-0.52973697  1.07805288  0.08524367  0.37359174]
20,[0.58255103],13.811209581300695,[-0.44857179  1.04277849  0.71082484 -0.71946115]
21,[-0.72088869],13.91036590582916,[-0.2406685   0.75791431  1.33523389 -2.09860524]
22,[-1.],14.748389838825586,[ 0.06975622  0.22073928  1.69897919 -3.14982754]
23,[-1.],15.647325854456854,[ 0.40015439 -0.42655383  1.50572228 -3.12711576]
24,[-1.],15.371515374554628,[ 0.63862401 -0.96749099  0.82941571 -2.19908293]
25,[-1.],14.057442582928639,[ 0.7216625  -1.29155216 -0.00570497 -1.0287631 ]
26,[-1.],12.907270396731917,[ 0.6389819  -1.37705155 -0.80203093  0.17408081]
27,[-1.],12.549108874627526,[ 0.41305682 -1.22379579 -1.41677412  1.34247236]
28,[-1.],12.995023443060612,[ 0.09235176 -0.85382977 -1.73206965  2.2937364 ]
29,[0.98598812],13.83509377874439,[-0.27640758 -0.28306086 -1.87740245  3.27548277]
30,[1.],14.512894974700222,[-0.61898244  0.37820184 -1.45162199  3.14459816]
31,[0.96583031],14.330929391373061,[-0.82544498  0.91535547 -0.56949808  2.15212805]
32,[1.],13.499678117646924,[-0.83937434  1.22601522  0.42984069  0.93625853]
33,[0.79791653],12.917623292045416,[-0.65824675  1.27906598  1.34784963 -0.41177091]
34,[-0.43715393],12.992190618748035,[-0.30780124  1.02908637  2.09475544 -2.06319745]
35,[-0.98385127],13.719317711540311,[ 0.15640769  0.46269965  2.45924012 -3.47131161]
36,[-0.99633314],14.4566490613907,[ 0.62956931 -0.27142252  2.14795528 -3.61795553]
37,[-1.],14.023745915186435,[ 0.97279512 -0.90256067  1.22177827 -2.59574497]
38,[-1.],12.677347172712793,[ 1.10555062 -1.29761021  0.09340181 -1.34718775]
