,action,cost,state
0,[0.7255277],9.870130791532741,[3.14703411 0.10882915]
1,[0.62576809],9.837020287369826,[3.15696478 0.1986133 ]
2,[1.41305863],9.779196267709326,[3.17691695 0.39904345]
3,[0.31363156],9.664925047431625,[3.19789697 0.41960047]
4,[0.77500777],9.537211201757582,[3.22257926 0.49364571]
5,[1.08222034],9.39284919904039,[3.25234452 0.59530518]
6,[0.94635941],9.22233031849245,[3.28506276 0.6543649 ]
7,[1.77432418],9.034706365430571,[3.32572675 0.81327971]
8,[1.39861256],8.814659638897394,[3.37001425 0.88575009]
9,[1.51254799],8.56730872091403,[3.41715435 0.94280199]
10,[1.57052733],8.305487554230847,[3.46587013 0.97431547]
11,[1.97965604],8.036112936942326,[3.51748492 1.03229588]
12,[1.98830704],7.759615479092698,[3.57024567 1.05521496]
13,[1.96500477],7.475250594758816,[3.62215722 1.03823113]
14,[1.7658685],7.191981141454243,[3.6699773 0.9564015]
15,[1.23553844],6.921853035572418,[3.7081587  0.76362806]
16,[0.17780641],6.6891064181159665,[3.72754598 0.38774565]
17,[-0.5416443],6.5466203997957315,[ 3.72213366 -0.10824645]
18,[-0.69923801],6.560646196008007,[ 3.69090919 -0.62448944]
19,[-1.14312748],6.76020091766983,[ 3.63153234 -1.18753689]
20,[-1.3660342],7.174153868136861,[ 3.54426377 -1.74537153]
21,[-1.62704986],7.808970661946458,[ 3.43009692 -2.28333691]
22,[-1.13076814],8.662754709747439,[ 3.29677987 -2.66634111]
23,[-1.23791683],9.631087377000963,[ 3.14838225 -2.96795243]
24,[-1.88106615],10.711402804328172,[ 2.98562202 -3.25520451]
25,[-2.],9.977574489874465,[ 2.81368701 -3.43870024]
26,[-1.57336022],9.101775980031691,[ 2.64202908 -3.43315855]
27,[-0.89928299],8.159784136875876,[ 2.48159063 -3.20876913]
28,[-1.37161851],7.189793297683908,[ 2.33385697 -2.95467306]
29,[-1.3309562],6.321669099752486,[ 2.2032433  -2.61227343]
30,[-2.],5.540678289719026,[ 2.08787651 -2.30733583]
31,[-0.34486394],4.891727110988175,[ 2.00252072 -1.70711571]
32,[-0.47847344],4.301742589152697,[ 1.94763559 -1.09770257]
33,[-0.31140407],3.9138764745879575,[ 1.92528365 -0.4470389 ]
34,[-0.2713528],3.7267751414221273,[1.93606498 0.21562661]
35,[1.24677895],3.754551547584973,[1.9912232  1.10316432]
36,[-0.18409671],4.086700860769881,[2.07923499 1.76023591]
37,[0.41148537],4.633230519142299,[2.20308939 2.47708796]
38,[1.96583403],5.471063838445172,[2.37193783 3.37696889]
39,[0.84390654],6.767193158413674,[2.57321136 4.02547041]
40,[1.88976553],8.245429097208929,[2.80884319 4.71263666]
41,[1.68530417],10.11333473478604,[3.06936391 5.21041447]
42,[1.23034254],12.137350458874684,[3.34181843 5.44909032]
43,[2.],11.624897649439173,[3.62181455 5.59992237]
44,[0.83551137],10.219505460977699,[3.8907529  5.37876709]
45,[2.],8.62084635998927,[4.14915285 5.16799903]
46,[2.],7.228915915367192,[4.39084536 4.83385026]
47,[1.50978318],5.919840736203001,[4.60828317 4.3487562 ]
48,[2.],4.700465201637603,[4.80342401 3.90281679]
49,[2.],3.7168913722568893,[4.97622013 3.45592241]
50,[2.],2.9064979320933726,[5.12781383 3.03187393]
51,[2.],2.258109200367526,[5.26009709 2.64566522]
52,[2.],1.7506639430173694,[5.37536584 2.30537505]
53,[2.],1.3596115911616742,[5.47607846 2.01425238]
54,[2.],1.0611427218404017,[5.56470523 1.77253539]
55,[2.],0.8344017879901131,[5.64364796 1.57885447]
56,[2.],0.6622861677911451,[5.71520977 1.43123625]
57,[1.92884268],0.5311603681295861,[5.78106565 1.31711774]
58,[1.23681015],0.4271337590321424,[5.83814944 1.14167579]
59,[1.36096958],0.33025151843325923,[5.88929712 1.02295354]
60,[0.50621812],0.26004755415528685,[5.92984962 0.81104995]
61,[1.86668493],0.194110822747362,[5.97142615 0.83153067]
62,[1.05959462],0.16746083739500375,[6.00944714 0.76041977]
