,action,cost,state
0,[0.20790609],-4.0,[0.01       1.03166497 0.         0.07916244]
1,[-0.12588986],-3.9998286551480144,[2.03166497e-02 1.00987193e+00 7.91624369e-04 2.46798343e-02]
2,[-0.37979899],-3.9992915247366994,[ 0.03041537  0.94753497  0.00103842 -0.13096819]
3,[-0.21893575],-3.9984129288474595,[ 3.98907187e-02  9.11050355e-01 -2.71259221e-04 -2.21924738e-01]
4,[-0.11823395],-3.9972738752063064,[ 0.04900122  0.89065929 -0.00249051 -0.27296899]
5,[0.00628405],-3.995874764031773,[ 0.05790782  0.89009339 -0.0052202  -0.27499515]
6,[-0.11368778],-3.994202513553355,[ 0.06680875  0.8701729  -0.00797015 -0.32607724]
7,[-0.23958355],-3.9922301402254803,[ 0.07551048  0.82998124 -0.01123092 -0.42850985]
8,[-0.31665318],-3.989986371187075,[ 0.08381029  0.77733603 -0.01551602 -0.56287172]
9,[-0.08602049],-3.987496327747108,[ 0.09158365  0.76142905 -0.02114474 -0.60644341]
10,[-0.11450167],-3.9847544302834956,[ 0.09919794  0.74066925 -0.02720917 -0.66352196]
11,[-0.02270603],-3.9816884888625204,[ 0.10660463  0.73428043 -0.03384439 -0.68616714]
12,[0.02621792],-3.9782795257706907,[ 0.11394744  0.73534536 -0.04070606 -0.69181354]
13,[-0.02830859],-3.9744990196218364,[ 0.12130089  0.72729842 -0.0476242  -0.7219048 ]
14,[-0.53396593],-3.970335576563808,[ 0.12857388  0.63807928 -0.05484324 -0.95638707]
15,[-0.01404797],-3.9657716408656243,[ 0.13495467  0.63171759 -0.06440712 -0.98572465]
16,[-0.18890965],-3.9606491132121984,[ 0.14127184  0.59693347 -0.07426436 -1.08830567]
17,[0.02678518],-3.9549765041990854,[ 0.14724118  0.59611802 -0.08514742 -1.10855382]
18,[-0.00432688],-3.948622583481308,[ 0.15320236  0.58975768 -0.09623296 -1.1452755 ]
19,[-0.10135317],-3.9416171129896553,[ 0.15909994  0.56738884 -0.10768571 -1.22452761]
20,[0.01883014],-3.933897257802181,[ 0.16477382  0.5636109  -0.11993099 -1.26030352]
21,[-0.00536539],-3.9253100297622203,[ 0.17040993  0.55537869 -0.13253402 -1.31010875]
22,[0.08410974],-3.9158788863159093,[ 0.17596372  0.56071827 -0.14563511 -1.3293188 ]
23,[0.07046619],-3.905504988714305,[ 0.1815709   0.56321956 -0.1589283  -1.35875894]
24,[0.08220843],-3.8942306519350423,[ 0.1872031   0.56691036 -0.17251589 -1.38850107]
25,[0.11771627],-3.8819792053447495,[ 0.1928722   0.57551589 -0.1864009  -1.40944949]
26,[0.02150693],-3.8687011774762583,[ 0.19862736  0.56833756 -0.20049539 -1.47258133]
27,[0.00266114],-3.8543918795731926,[ 0.20431074  0.55764577 -0.21522121 -1.54766785]
28,[0.07826928],-3.8387798572327814,[ 0.20988719  0.5581964  -0.23069789 -1.59875289]
29,[0.11570583],-3.8216947712030906,[ 0.21546916  0.56392369 -0.24668541 -1.64094929]
30,[0.11851051],-3.803173854307408,[ 0.2211084   0.56941262 -0.26309491 -1.68759128]
31,[0.14845487],-3.783194067895045,[ 0.22680252  0.57885279 -0.27997082 -1.72865018]
32,[0.16018274],-3.761649121138736,[ 0.23259105  0.58940681 -0.29725732 -1.77113091]
33,[0.16271088],-3.7385042229273395,[ 0.23848512  0.59967341 -0.31496863 -1.81849675]
34,[0.16211411],-3.7136761202111996,[ 0.24448185  0.60920718 -0.3331536  -1.87188745]
35,[0.11617704],-3.687047362380182,[ 0.25057392  0.61123211 -0.35187247 -1.94738808]
36,[0.17280191],-3.658479729684534,[ 0.25668624  0.62126162 -0.37134635 -2.00846368]
37,[0.16355213],-3.6276586111871043,[ 0.26289886  0.62938428 -0.39143099 -2.0786258 ]
38,[0.16912233],-3.5946148052138387,[ 0.2691927   0.63787317 -0.41221725 -2.15266983]
39,[0.15573954],-3.559146856153226,[ 0.27557144  0.64400742 -0.43374395 -2.23697637]
40,[0.16951162],-3.521097241843592,[ 0.28201151  0.65184615 -0.45611371 -2.32237075]
41,[0.16024644],-3.4802236662014896,[ 0.28852997  0.6581153  -0.47933742 -2.41643363]
42,[0.17076554],-3.4363839902276774,[ 0.29511112  0.66576119 -0.50350175 -2.51269561]
43,[0.1606216],-3.3893365552462105,[ 0.30176874  0.67194254 -0.52862871 -2.61761272]
44,[0.1705522],-3.3389185318754397,[ 0.30848816  0.67961813 -0.55480484 -2.72486089]
45,[0.15177491],-3.2848767879698735,[ 0.31528434  0.68493442 -0.58205345 -2.84288759]
46,[0.13867995],-3.2270466379484355,[ 0.32213369  0.68891215 -0.61048232 -2.96954202]
47,[0.11153972],-3.1651398623924525,[ 0.32902281  0.68991517 -0.64017774 -3.10822339]
48,[0.0929274],-3.0988975690783325,[ 0.33592196  0.68941156 -0.67125998 -3.25587961]
49,[0.08135452],-3.0280076507907436,[ 0.34281608  0.68863406 -0.70381877 -3.41009603]
50,[0.07574518],-2.9522132239212335,[ 0.34970242  0.68864168 -0.73791973 -3.56895284]
51,[0.06446014],-2.8713164397020026,[ 0.35658883  0.68899586 -0.77360926 -3.7334579 ]
52,[0.04109323],-2.7851834737452212,[ 0.36347879  0.68852792 -0.81094384 -3.90583102]
53,[0.00861499],-2.69370331806958,[ 0.37036407  0.68654932 -0.85000215 -4.08721042]
54,[-0.01454864],-2.5967723122981,[ 0.37722956  0.684667   -0.89087425 -4.27475585]
55,[-0.04943846],-2.494321719498355,[ 0.38407623  0.68194559 -0.93362181 -4.46993959]
