,action,cost,state
0,[0.40259571],-4.0,[0.01       1.06281531 0.         0.15703828]
1,[0.07354447],-3.9998286551480144,[0.02062815 1.07288192 0.00157038 0.18220481]
2,[0.21145999],-3.999265994770018,[0.03135697 1.10509127 0.00339243 0.26311359]
3,[-0.08157184],-3.998292440141081,[0.04240789 1.09047104 0.00602357 0.22739609]
4,[0.1240671],-3.9968467219597024,[0.0533126  1.10893078 0.00829753 0.27502336]
5,[0.98686654],-3.9949943586005467,[0.0644019  1.26553603 0.01104776 0.66856003]
6,[1.],-3.992653732118386,[0.07705726 1.42413858 0.01773336 1.0677544 ]
7,[0.19470928],-3.9892070213708353,[0.09129865 1.45400392 0.02841091 1.14675932]
8,[0.10710492],-3.984126102961226,[0.10583869 1.47038978 0.0398785  1.19468137]
9,[-0.0117497],-3.977672348483678,[0.12054259 1.46836972 0.05182531 1.19942281]
10,[0.00532918],-3.9698185963994788,[0.13522628 1.46974002 0.06381954 1.21556137]
11,[0.03839413],-3.960673535632352,[0.14992368 1.47703757 0.07597515 1.24942517]
12,[0.10124838],-3.9501896207402494,[0.16469406 1.49498688 0.08846941 1.31280297]
13,[0.20621884],-3.9382559708783775,[0.17964393 1.53024478 0.10159744 1.4222939 ]
14,[0.16987663],-3.9246409761935044,[0.19494638 1.5602441  0.11582037 1.52180475]
15,[0.14395232],-3.9089129589624227,[0.21054882 1.58668915 0.13103842 1.61584482]
16,[0.11901988],-3.8909461707535775,[0.22641571 1.6097711  0.14719687 1.70513294]
17,[0.09638758],-3.8706031962797427,[0.24251342 1.62988259 0.1642482  1.79087443]
18,[0.06592819],-3.847757134414104,[0.25881225 1.64581353 0.18215694 1.87030762]
19,[0.05749191],-3.8222864563458607,[0.27527038 1.66105486 0.20086002 1.95225317]
20,[0.05380081],-3.7941172280157223,[0.29188093 1.67633434 0.22038255 2.03866413]
21,[0.04584635],-3.7630961169609844,[0.30864427 1.69095643 0.24076919 2.12800224]
22,[0.02939603],-3.7290431562941566,[0.32555384 1.70357642 0.26204922 2.21718157]
23,[0.01558492],-3.69179311952845,[0.3425896  1.71458722 0.28422103 2.30736815]
24,[0.0099395],-3.6512270275644116,[0.35973547 1.72520906 0.30729471 2.401698  ]
25,[0.01500351],-3.6072205667227997,[0.37698756 1.7370018  0.33131169 2.50405791]
26,[0.02121525],-3.559607551201342,[0.39435758 1.75001894 0.35635227 2.61468811]
27,[0.02431769],-3.508154245288079,[0.41185777 1.76365351 0.38249915 2.7322777 ]
28,[0.02666491],-3.4526120367738793,[0.42949431 1.77764352 0.40982193 2.85635572]
