,action,cost,state
0,[0.51251396],0.0,[ 0.01        1.08040223  3.14159265 -0.20100559]
1,[1.],0.0,[ 0.02080402  1.23867359  3.1395826  -0.59668398]
2,[0.54676467],-4.080296290211374e-12,[ 0.03319076  1.3240537   3.13361576 -0.80964036]
3,[0.31850546],-1.0117333845173102e-09,[ 0.0464313   1.37241172  3.12551935 -0.92857324]
4,[0.2801397],-1.6670180159740416e-08,[ 0.06015541  1.41405162  3.11623362 -1.02871373]
5,[0.03169685],-1.0321688274655464e-07,[ 0.07429593  1.41530224  3.10594648 -1.02561429]
6,[0.61745881],-4.025985117339885e-07,[ 0.08844895  1.50957086  3.09569034 -1.25238686]
7,[0.10427477],-1.1057819624885661e-06,[ 0.10354466  1.52095164  3.08316647 -1.26954376]
8,[0.15096761],-2.8981893934278215e-06,[ 0.11875418  1.53897554  3.07047104 -1.30019117]
9,[0.03089384],-6.352638160241692e-06,[ 0.13414393  1.53699751  3.05746912 -1.27781294]
10,[0.18499452],-1.2409254865344823e-05,[ 0.14951391  1.55878268  3.04469099 -1.31145529]
11,[0.05790588],-2.179815411430935e-05,[ 0.16510173  1.55947653  3.03157644 -1.28942965]
12,[0.24913758],-3.612514133436156e-05,[ 0.1806965   1.58975628  3.01868215 -1.33771684]
13,[0.27303085],-5.6119510201842216e-05,[ 0.19659406  1.62290295  3.00530498 -1.38985976]
14,[0.23330775],-8.456906896961161e-05,[ 0.21282309  1.64878796  2.99140638 -1.42061707]
15,[0.25214673],-0.0001242722883668263,[ 0.22931097  1.67667754  2.97720021 -1.45282389]
16,[0.29957374],-0.0001777016190215435,[ 0.24607775  1.71103314  2.96267197 -1.4973781 ]
17,[0.28005293],-0.0002482847278902967,[ 0.26318808  1.74125354  2.94769819 -1.52803198]
18,[0.26781624],-0.0003408229835071858,[ 0.28060061  1.76849157  2.93241787 -1.54754766]
19,[0.27549013],-0.00045928054007173273,[ 0.29828553  1.79587032  2.91694239 -1.56352382]
20,[0.27091273],-0.0006076512434910098,[ 0.31624423  1.821478    2.90130715 -1.57124544]
21,[0.26237007],-0.0007905493354602587,[ 0.33445901  1.84472393  2.8855947  -1.56926656]
22,[0.26208897],-0.0010119538886773903,[ 0.35290625  1.86692309  2.86990203 -1.56079255]
23,[0.26456096],-0.001275010143987865,[ 0.37157548  1.88853128  2.85429411 -1.546949  ]
24,[0.26354292],-0.0015825298461791672,[ 0.39046079  1.90904916  2.83882462 -1.52657578]
25,[0.26352143],-0.001936699955107958,[ 0.40955129  1.9286749   2.82355886 -1.50020929]
26,[0.26443292],-0.0023384074196241894,[ 0.42883804  1.94759869  2.80855677 -1.46837854]
27,[0.26452322],-0.0027873848133997993,[ 0.44831402  1.9657474   2.79387298 -1.43100005]
28,[0.26416261],-0.003282134870805643,[ 0.4679715   1.98310834  2.77956298 -1.38814954]
29,[0.26430511],-0.003819655787251013,[ 0.48780258  1.99981372  2.76568149 -1.34025639]
30,[0.2644643],-0.004395410268732715,[ 0.50780072  2.01592262  2.75227892 -1.28758857]
31,[0.26442958],-0.005003480693581452,[ 0.52795994  2.0314626   2.73940304 -1.23035095]
32,[0.26446013],-0.005636592783970793,[ 0.54827457  2.0464985   2.72709953 -1.16884419]
33,[0.26455061],-0.006286208816964229,[ 0.56873955  2.06109226  2.71541109 -1.10336987]
34,[0.26456953],-0.006942754545748363,[ 0.58935048  2.07528397  2.70437739 -1.0341866 ]
35,[0.26455362],-0.007595851868990435,[ 0.61010332  2.08911622  2.69403552 -0.96156517]
36,[0.26455499],-0.008234557017764831,[ 0.63099448  2.10263582  2.68441987 -0.88579151]
37,[0.26454154],-0.008847656816378599,[ 0.65202084  2.11588139  2.67556195 -0.80713787]
38,[0.26450581],-0.009423987157389896,[ 0.67317965  2.12888681  2.66749058 -0.72587024]
39,[0.26446585],-0.009952737113490248,[ 0.69446852  2.14168492  2.66023187 -0.64225602]
40,[0.26442157],-0.010423751299056002,[ 0.71588537  2.15430494  2.65380931 -0.55655791]
41,[0.26436541],-0.01082782186908249,[ 0.73742842  2.16677165  2.64824373 -0.4690316 ]
42,[0.26430165],-0.011156949616597044,[ 0.75909613  2.17910728  2.64355342 -0.37992974]
43,[0.26423393],-0.011404567830609199,[ 0.78088721  2.19133174  2.63975412 -0.28950205]
44,[0.26416131],-0.011565727049984282,[ 0.80280052  2.20346236  2.6368591  -0.19799445]
45,[0.26408462],-0.011637232031480644,[ 0.82483515  2.21551455  2.63487916 -0.10565028]
46,[0.26400623],-0.011617725980268282,[ 0.84699029  2.22750246  2.63382265 -0.01271147]
47,[0.26392713],-0.011507721634098826,[0.86926532 2.23943926 2.63369554 0.08058108]
48,[0.26384789],-0.011309578790774889,[0.89165971 2.25133763 2.63450135 0.17398669]
49,[0.26376974],-0.011027428804122356,[0.91417309 2.26321033 2.63624122 0.26726387]
50,[0.26369369],-0.010667049278212678,[0.93680519 2.27507071 2.63891385 0.36016939]
51,[0.26362036],-0.010235693644589691,[0.9595559  2.28693319 2.64251555 0.4524575 ]
52,[0.2635504],-0.009741881177643743,[0.98242523 2.29881378 2.64704012 0.54387895]
53,[0.26348439],-0.009195154346552865,[1.00541337 2.31073059 2.65247891 0.63418016]
54,[0.26342272],-0.008605811494637204,[1.02852067 2.32270428 2.65882071 0.72310237]
55,[0.26336562],-0.007984623442401906,[1.05174772 2.33475848 2.66605174 0.81038097]
56,[0.26331323],-0.007342543057426008,[1.0750953  2.34692021 2.67415555 0.89574482]
57,[0.26326558],-0.006690417090028647,[1.0985645  2.3592202  2.683113   0.97891576]
58,[0.26322257],-0.006038709468061812,[1.1221567  2.37169319 2.69290215 1.0596083 ]
59,[0.26318402],-0.005397244831374429,[1.14587364 2.3843781  2.70349824 1.13752951]
60,[0.26314967],-0.004774980401849628,[1.16971742 2.39731816 2.71487353 1.21237914]
61,[0.2631192],-0.004179813297203843,[1.1936906  2.41056092 2.72699732 1.28385008]
62,[0.26309227],-0.0036184291169564556,[1.21779621 2.42415814 2.73983582 1.35162916]
63,[0.2630685],-0.003096196102101739,[1.24203779 2.43816551 2.75335212 1.41539836]
64,[0.26304754],-0.0026171074338609615,[1.26641944 2.45264234 2.7675061  1.47483642]
65,[0.26302903],-0.0021837723428372482,[1.29094587 2.46765097 2.78225446 1.52962097]
66,[0.26301268],-0.0017974547226303924,[1.31562238 2.4832561  2.79755067 1.57943116]
67,[0.26299823],-0.0014581559678662208,[1.34045494 2.49952393 2.81334498 1.62395077]
68,[0.26298546],-0.0011647368810224264,[1.36545018 2.51652121 2.82958449 1.6628718 ]
69,[0.26297423],-0.0009150718195636046,[1.39061539 2.53431405 2.84621321 1.69589857]
70,[0.26296444],-0.000706226890358948,[1.41595853 2.55296675 2.8631722  1.72275214]
71,[0.26295606],-0.0005346530401826493,[1.4414882  2.57254041 2.88039972 1.74317494]
72,[0.26294908],-0.0003963844212723038,[1.4672136  2.59309165 2.89783147 1.75693571]
73,[0.26294353],-0.00028723248554999426,[1.49314452 2.6146712  2.91540082 1.76383421]
74,[0.26293945],-0.00020296690070210847,[1.51929123 2.63732266 2.93303917 1.76370583]
75,[0.26293688],-0.00013947556341754432,[1.54566446 2.66108129 2.95067622 1.75642581]
76,[0.26293585],-9.289764050638423e-05,[1.57227527 2.68597308 2.96824048 1.74191278]
77,[0.26293634],-5.9725582473163494e-05,[1.599135   2.7120139  2.98565961 1.72013159]
78,[0.26293832],-3.6874272789081965e-05,[1.62625514 2.73920906 3.00286093 1.6910952 ]
79,[0.26294168],-2.1717720236439142e-05,[1.65364723 2.76755305 3.01977188 1.65486555]
80,[0.26294629],-1.209578411102838e-05,[1.68132276 2.79702962 3.03632053 1.61155331]
81,[0.26295196],-6.295168592293382e-06,[1.70929306 2.82761222 3.05243607 1.56131668]
82,[0.26295843],-3.0101928252043244e-06,[1.73756918 2.8592646  3.06804923 1.50435899]
83,[0.26296546],-1.2895479529497198e-06,[1.76616183 2.89194174 3.08309282 1.4409256 ]
84,[0.26297274],-4.7536437718529797e-07,[1.79508124 2.92559096 3.09750208 1.37129996]
85,[0.26297999],-1.4046943707014352e-07,[1.82433715 2.96015316 3.11121508 1.29579917]
86,[0.26281442],-2.881316162460261e-08,[1.85393868 2.99553649 3.12417307 1.2148382 ]
87,[-1.],-2.817076580580082e-09,[1.88389405 2.82968597 3.13632145 1.63367788]
88,[1.],-2.1197759812514704e-11,[1.91219091 2.98481155 3.15265823 1.24716339]
89,[1.],-3.692646543931484e-10,[1.94203902 3.14071764 3.16512987 0.8547055 ]
90,[1.],-6.688815364043435e-09,[1.9734462  3.29706809 3.17367692 0.45815978]
