,action,cost,state
131,[1.],-238212285.2198602,[-3.84973695 -5.66578226  0.24829468 -5.25581101]
132,[1.],-256181860.65144056,[-3.90639477 -5.50480699  0.19573657 -4.80538247]
133,[1.],-272796006.06060344,[-3.96144284 -5.33929384  0.14768275 -4.35175385]
134,[1.],-287974041.70699066,[-4.01483578 -5.17104908  0.10416521 -3.89959597]
135,[1.],-301702584.6556393,[-4.06654627 -5.0015764   0.06516925 -3.45268441]
136,[1.],-314021808.88880724,[-4.11656203 -4.83203958  0.03064241 -3.01375434]
137,[1.],-325010702.29966056,[-4.16488243e+00 -4.66326690e+00  5.04864475e-04 -2.58449918e+00]
138,[1.],-334773239.07478166,[-4.2115151  -4.49578405 -0.02534013 -2.16566815]
139,[1.],-343426604.7749342,[-4.25647294 -4.3298619  -0.04699681 -1.75721629]
140,[1.],-351091906.91735,[-4.29977156 -4.16556851 -0.06456897 -1.3584698 ]
141,[1.],-357887301.76756203,[-4.34142724 -4.00281821 -0.07815367 -0.96828259]
142,[0.28429047],-363923184.74572784,[-4.38145542 -3.95551065 -0.0878365  -0.8695419 ]
143,[1.],-369298982.0430936,[-4.42101053 -3.79491292 -0.09653191 -0.49113153]
144,[0.93135838],-374141553.9888805,[-4.45895966 -3.64624892 -0.10144323 -0.14486363]
145,[0.67254242],-378446531.8451567,[-4.49542215 -3.53939664 -0.10289187  0.09603214]
146,[1.],-382284119.9747171,[-4.53081611 -3.38075517 -0.10193154  0.46532289]
147,[0.62001949],-385702293.4787938,[-4.56462367 -3.28266365 -0.09727832  0.68429795]
148,[0.63083483],-388737461.421034,[-4.5974503  -3.18263039 -0.09043534  0.90935457]
149,[0.6072522],-391406929.9271255,[-4.62927661 -3.08597107 -0.08134179  1.12784376]
