,action,cost,state
0,[-0.07844784],-4.0,[ 0.         -0.01255165  0.         -0.03137913]
1,[-0.29204589],-4.0,[-1.25516538e-04 -5.92589134e-02 -3.13791345e-04 -1.48147284e-01]
2,[-0.64657223],-3.999999776075249,[-0.00071811 -0.16263412 -0.00179526 -0.40666233]
3,[-0.09112898],-3.999992670462387,[-0.00234445 -0.17705958 -0.00586189 -0.44316666]
4,[-0.53755049],-3.9999218592251675,[-0.00411504 -0.2631252  -0.01029355 -0.65976609]
5,[-0.52014561],-3.99975907654994,[-0.00674629 -0.3465179  -0.01689121 -0.87076381]
6,[-0.23099837],-3.9993514348357704,[-0.01021147 -0.38388112 -0.02559885 -0.96830513]
7,[0.09169094],-3.998510966532627,[-0.01405028 -0.37005182 -0.0352819  -0.94002705]
8,[0.0523505],-3.997172982451746,[-0.0177508  -0.36309113 -0.04468217 -0.93129606]
9,[0.07306679],-3.9954693300305557,[-0.02138171 -0.35336733 -0.05399514 -0.91797666]
10,[-0.05854524],-3.9933904218423093,[-0.02491539 -0.36521454 -0.0631749  -0.96080089]
11,[-0.02377082],-3.990963028552789,[-0.02856753 -0.37198983 -0.07278291 -0.99320442]
12,[0.15982522],-3.9880224714268366,[-0.03228743 -0.34999348 -0.08271496 -0.95621158]
13,[0.1486942],-3.984556069910889,[-0.03578737 -0.33039276 -0.09227707 -0.92766068]
14,[0.13924865],-3.980815286560023,[-0.03909129 -0.31288936 -0.10155368 -0.90671024]
15,[0.35157033],-3.976813599655163,[-0.04222019 -0.26219257 -0.11062078 -0.80550986]
16,[0.31644051],-3.9725534641189513,[-0.04484211 -0.2177603  -0.11867588 -0.72221019]
17,[0.22152679],-3.9684942858376315,[-0.04701972 -0.1889883  -0.12589798 -0.6798527 ]
18,[0.34920709],-3.9646467608003357,[-0.0489096  -0.14047223 -0.13269651 -0.59034888]
19,[0.27789012],-3.960850665939147,[-0.05031432 -0.10378673 -0.1386     -0.53192287]
20,[0.26290281],-3.9574388472303883,[-0.05135219 -0.06991247 -0.14391923 -0.4819668 ]
21,[0.26433231],-3.9542826199664867,[-0.05205131 -0.0362066  -0.14873889 -0.43378361]
22,[0.28464315],-3.951367418188623,[-5.24133791e-02  3.44540197e-04 -1.53076729e-01 -3.79795598e-01]
23,[0.21296776],-3.948712725626819,[-0.05240993  0.02524521 -0.15687469 -0.3557056 ]
24,[0.2399109],-3.9463851829443426,[-0.05215748  0.05412293 -0.16043174 -0.32275278]
25,[0.24960699],-3.9441986523081503,[-0.05161625  0.08426068 -0.16365927 -0.28759321]
26,[0.20207044],-3.9422267098921178,[-0.05077365  0.10666115 -0.1665352  -0.27233958]
27,[0.21930286],-3.940496771759994,[-0.04970703  0.13156601 -0.1692586  -0.25163449]
