,action,cost,state
0,[0.32909356],0.0,[ 0.01        1.05105497  3.14159265 -0.12763742]
1,[-0.57571],0.0,[0.02051055 0.95725968 3.14031628 0.1068508 ]
2,[0.02326539],-6.633973886084032e-13,[0.03008315 0.95937529 3.14138479 0.10187514]
3,[-1.],-4.665603941708526e-16,[0.0396769  0.79782804 3.14240354 0.50579428]
4,[-0.67026104],-1.0801505151980374e-13,[0.04765518 0.68935807 3.14746148 0.77677005]
5,[-0.59992122],-2.9629235271666787e-10,[0.05454876 0.59262398 3.15522918 1.01716032]
6,[-0.36657223],-8.633524932390812e-09,[0.060475   0.533868   3.16540079 1.16068894]
7,[-0.45034983],-8.018990041170594e-08,[0.06581368 0.46246134 3.17700767 1.33331066]
8,[-0.40966372],-3.924579873170014e-07,[0.07043829 0.39845932 3.19034078 1.4845228 ]
9,[-0.32398473],-1.4082390614570745e-06,[0.07442289 0.34917986 3.20518601 1.59561216]
10,[-0.33975206],-4.07627439624291e-06,[0.07791469 0.29850877 3.22114213 1.70643218]
11,[-0.37584936],-9.974735461798916e-06,[0.08089977 0.243327   3.23820645 1.82444155]
12,[-0.33635411],-2.1687166417464015e-05,[0.08333304 0.19581403 3.25645087 1.91898823]
13,[-0.41582047],-4.328532503244351e-05,[0.08529118 0.13715271 3.27564075 2.03653948]
14,[-0.3651633],-8.022832698681771e-05,[0.08666271 0.08816629 3.29600615 2.12509657]
15,[-0.39967901],-0.00014110968125801007,[0.08754437 0.0354459  3.31725711 2.2175713 ]
16,[-0.36758019],-0.00023605590558612883,[ 0.08789883 -0.01038269  3.33943282  2.28747544]
17,[-0.40309266],-0.0003792501225630425,[ 0.08779501 -0.05989007  3.36230758  2.36057605]
18,[-0.39826892],-0.0005865492723556915,[ 0.0871961  -0.10665823  3.38591334  2.42091345]
19,[-0.43958863],-0.0008791092859823549,[ 0.08612952 -0.1577946   3.41012247  2.48557197]
20,[-0.44841699],-0.0012802853090226936,[ 0.08455158 -0.20815585  3.43497819  2.54182833]
21,[-0.47796464],-0.001820242995113751,[ 0.08247002 -0.26085703  3.46039648  2.59695419]
22,[-0.4844161],-0.0025316594281137137,[ 0.07986145 -0.31230379  3.48636602  2.64214295]
23,[-0.51549919],-0.003453625420752742,[ 0.07673841 -0.36618617  3.51278745  2.68594681]
24,[-0.57438563],-0.0046266514950295875,[ 0.07307655 -0.42654052  3.53964692  2.73750655]
25,[-0.61773713],-0.0060986160728621055,[ 0.06881114 -0.49087152  3.56702198  2.79059802]
