,action,cost,state
0,[0.31223948],16.0,[0.59868337 0.03012508 2.73596677 0.37362046]
1,[-0.44942608],13.211823824590201,[1.07006921 0.14354266 1.92249383 0.78764666]
2,[-1.],8.007209423915473,[1.36140714 0.33423107 0.97103035 1.13946688]
3,[0.65433488],4.340324745407039,[ 1.43292968  0.66334083 -0.25548616  2.1586429 ]
4,[1.],2.675864696988609,[ 1.25786668  1.20294072 -1.48227528  3.19091933]
5,[0.76126721],2.3432525375685214,[ 0.84807278  1.90273375 -2.59817865  3.71329224]
6,[1.],3.0165433644842197,[ 0.23287497  2.65552293 -3.46254064  3.74153989]
7,[-1.],4.019583358658416,[-0.46229074 -2.93577701 -3.31098713  3.17300783]
8,[-1.],3.716193152287209,[-1.03030052 -2.3706053  -2.276812    2.41974926]
9,[-1.],2.3962880914032914,[-1.35509151 -1.99930426 -0.95384456  1.22247997]
10,[-1.],1.5291628221226716,[-1.40931721 -1.90027679  0.41333404 -0.24535143]
11,[-1.],1.380289724884345,[-1.19039031 -2.08791257  1.76818128 -1.57107044]
12,[-1.],1.9061330868967683,[-0.71059141 -2.49282827  2.98070553 -2.37172952]
13,[-0.53268226],3.0972019880520425,[-0.03893714 -2.98748511  3.59464566 -2.49767813]
14,[-1.],4.023501733440697,[ 0.66062495  2.80552346  3.24243306 -2.3524366 ]
15,[-1.],3.392287745971328,[ 1.21042842  2.38094598  2.19054802 -1.81818855]
16,[-1.],2.108526219333002,[ 1.52650029  2.10782602  0.965366   -0.85348751]
17,[-1.],1.3531238423015268,[ 1.59741866  2.05466648 -0.25449158  0.33647824]
18,[-1.],1.2119297925300794,[ 1.42422301  2.23880478 -1.47998955  1.47325737]
19,[-0.96808668],1.6356973911515285,[ 1.00632702  2.62421685 -2.67693595  2.31699824]
20,[-0.33168576],2.7295717549036467,[ 0.37443759 -3.12920253 -3.52469116  2.93677321]
21,[-1.],4.018433190416395,[-0.33218583 -2.50872896 -3.36972683  3.23420018]
22,[0.13026037],3.9608794598676913,[-0.92567319 -1.83920204 -2.48975146  3.37207179]
23,[0.98426457],2.793643556137494,[-1.32332701 -1.17652323 -1.48319042  3.18538933]
24,[0.32799166],2.084839048146574,[-1.51200096 -0.60315234 -0.40034528  2.52019552]
25,[-0.63547068],2.374352387175933,[-1.46860116 -0.20476618  0.84261316  1.45849133]
26,[-0.79479337],3.9985046718505033,[-1.17113575 -0.02657239  2.1238604   0.32479085]
27,[1.],7.58230520971414,[-0.6559179  -0.00513898  2.96544848 -0.06455505]
28,[0.10416469],12.829522190689623,[-0.01276615 -0.0502327   3.33832722 -0.27316153]
29,[0.10635084],15.983482205898731,[ 0.62227123 -0.06310306  2.8919253   0.23302184]
30,[-1.],13.397454733765525,[1.12243121 0.02581566 2.05573495 0.67321684]
31,[0.82612097],8.085946210667812,[1.40913856 0.27053139 0.80701659 1.76523445]
32,[-0.37689488],4.21191850733798,[ 1.46294021  0.68903819 -0.26631138  2.4249187 ]
33,[-1.],2.429342499833736,[ 1.30980142  1.22229277 -1.26964582  2.89941962]
34,[0.56762996],2.06815076685265,[ 0.93995389  1.8734306  -2.41621721  3.52911055]
35,[-1.],2.700118751299222,[ 0.36673943  2.56446789 -3.24678892  3.31134091]
36,[-1.],3.824179508495215,[-0.30636243 -3.10524072 -3.3192256   2.7941516 ]
37,[0.91551208],3.958782097792972,[-0.90734935 -2.57774737 -2.57441148  2.43396701]
38,[-0.27258815],2.803133053320305,[-1.30153815 -2.18228801 -1.33822125  1.45050569]
39,[0.8482024],1.752999684229585,[-1.44677421 -1.9953349  -0.11253642  0.39008454]
40,[0.22428999],1.3654405821249453,[-1.34186981 -2.04081116  1.15998197 -0.81680527]
41,[-1.],1.577167952598446,[-0.97663452 -2.32462909  2.47026334 -1.93013792]
42,[-1.],2.4728655608494616,[-0.37455214 -2.77072242  3.4537776  -2.42951996]
43,[-1.],3.7275188779822765,[ 0.34556684  3.01818408  3.5766003  -2.45696543]
44,[0.07903002],3.863030726662846,[ 0.98515305  2.57395046  2.70779406 -1.9146404 ]
45,[-0.71555985],2.6851229962275074,[ 1.40908848  2.26911113  1.50783965 -1.05816078]
46,[-0.00965144],1.6940474474877985,[1.5818376  2.18919136 0.22252347 0.29523309]
47,[-1.],1.3938151213771213,[ 1.50586901  2.37085619 -0.98328652  1.51345952]
48,[1.],1.7506990441669072,[ 1.17563552  2.82561396 -2.3046263   3.00218942]
49,[-0.67045893],3.00072159815473,[ 0.6132014  -2.74853394 -3.2223994   4.11570621]
50,[-1.],5.2111109769987785,[-0.05978553 -1.7973589  -3.40962908  5.4439807 ]
51,[-0.43736953],7.375365735525941,[-0.73479641 -0.55879362 -3.27318986  6.77781174]
52,[1.],9.09406610384593,[-1.30834397  0.77513342 -2.23905377  6.0994694 ]
53,[1.],9.738327182080752,[-1.5778551   1.8077425  -0.42567568  4.25253424]
54,[0.29437811],8.800913390934085,[-1.47825     2.474465    1.37524015  2.42355889]
55,[0.53401609],6.947956535799053,[-1.05484151  2.78272646  2.78503758  0.68151344]
56,[0.89232786],5.461205622554637,[-0.40228286  2.77600486  3.62259223 -0.66131793]
57,[-0.65362441],4.843424914277402,[ 0.34189792  2.5317295   3.65308719 -1.65484565]
58,[-1.],3.91172607285406,[ 1.00036592  2.16172561  2.82622879 -1.90407797]
59,[-0.8721906],2.372229759463653,[ 1.44838092  1.82613389  1.63150741 -1.34034718]
60,[-1.],1.2790050190140199,[ 1.65233994  1.65469671  0.40995252 -0.32529275]
61,[0.07805268],0.8689994492962779,[ 1.60374844  1.72971    -0.89648269  1.06464781]
62,[1.],0.97102044236471,[ 1.28552611  2.08456983 -2.28347406  2.40555552]
63,[-0.27527338],1.70932151916291,[ 0.70630062  2.62650428 -3.45421058  2.92123185]
64,[-1.],3.1648178343628466,[-0.04440396 -3.07205995 -3.88054048  2.88483041]
65,[-0.81938636],3.997320513490772,[-0.76952585 -2.51531856 -3.21604953  2.62218074]
66,[-0.8235673],2.9876557552228165,[-1.29149675 -2.06094864 -1.958596    1.81621369]
67,[-0.31800974],1.684361775431626,[-1.55063098 -1.81475877 -0.63015383  0.58131264]
68,[0.59649314],1.0922386080679234,[-1.55113904 -1.81980561  0.62508412 -0.63234043]
69,[-0.57494454],1.09378570231031,[-1.29098318 -2.0823692   1.97371915 -1.92901052]
70,[0.49604705],1.6975806090676147,[-0.77528582 -2.53345486  3.13917618 -2.4849285 ]
71,[-1.],2.9865292183253365,[-0.06405349 -3.07074688  3.82241835 -2.82195151]
72,[-1.],3.9918934876952097,[ 0.67785958  2.63821404  3.42582158 -2.87878479]
73,[1.],3.2187949701097254,[ 1.24570603  2.13026713  2.19358071 -2.10256108]
74,[1.],1.8136977302918047,[ 1.54683722  1.83635704  0.81326084 -0.7611984 ]
75,[0.60551765],1.1088106602240937,[ 1.5742989   1.83354294 -0.5379338   0.74075877]
76,[-1.],1.0644726869606047,[ 1.34402714  2.08663487 -1.76572128  1.74209525]
77,[0.55592557],1.6035689338471104,[ 0.86029467  2.53425235 -3.03626631  2.6411216 ]
78,[-1.],2.835980127666439,[ 0.17287962  3.07948899 -3.69843578  2.75529411]
79,[-1.],3.964968579295432,[-0.54674784 -2.66470443 -3.32873882  2.58348746]
80,[-0.60876272],3.447182881169647,[-1.10942391 -2.19501658 -2.22520604  2.01474096]
81,[0.04193473],2.1269535418190415,[-1.42811286 -1.88376581 -0.9503565   1.02196666]
82,[-0.81253432],1.3378704167129636,[-1.48157212 -1.82482432  0.4163952  -0.44696617]
83,[-0.70492809],1.2158487134873124,[-1.26282633 -2.05121192  1.76626964 -1.76018895]
84,[-1.],1.7370098734816581,[-0.77927505 -2.50111254  3.02668492 -2.63755675]
85,[1.],2.9619778414590416,[-0.10094261 -3.03043582  3.61579651 -2.5921177 ]
86,[0.2313074],3.979872518549257,[ 0.60115458  2.7511948   3.2434803  -2.36975212]
87,[-1.],3.410708105347427,[ 1.15465902  2.30956146  2.22207855 -1.96436426]
88,[-1.],2.119426206260734,[ 1.47803024  1.99771036  1.00394698 -1.08918297]
89,[-0.05634514],1.3177731260842587,[ 1.54908598  1.91186483 -0.29295382  0.24678489]
