,action,cost,state
0,[-0.87492239],12.533740416935267,[ 0.65336197  0.81357277  3.2185306  -1.65633052]
1,[-1.],8.396779065463434,[ 1.23240246  0.42635455  2.47772644 -2.0163912 ]
2,[-0.18518491],5.036097853418614,[ 1.61230863  0.09059258  1.30004133 -1.27300152]
3,[-1.],3.337120184334323,[ 1.76267431 -0.10470003  0.20728366 -0.68370109]
4,[-1.],2.9660751242152004,[ 1.69565955 -0.18419818 -0.88161504 -0.10468819]
5,[0.58872498],3.7433005864991293,[ 1.38590383 -0.08490083 -2.21520703  1.10578413]
6,[-0.27963385],6.004328320342623,[ 0.83133471  0.21337107 -3.26259656  1.75871283]
7,[0.40443244],10.087272054292342,[ 0.12111333  0.55535827 -3.67613383  1.4067121 ]
8,[0.89180801],14.23146388810353,[-0.57064832  0.6960619  -3.08367661 -0.12265206]
9,[1.],14.697232411899067,[-1.06689964  0.50074508 -1.83312255 -1.75495472]
10,[-0.3006538],11.067674268752056,[-1.28931611e+00 -3.04034203e-03 -4.35215610e-01 -3.15657791e+00]
11,[-1.],6.515939639103534,[-1.25773773 -0.73732011  0.68752371 -4.08386883]
12,[0.82935751],3.5960376058310946,[-1.05052786 -1.55687314  1.38706263 -4.11146667]
13,[-0.27848579],2.6779117233486653,[-0.68955654 -2.40990851  2.21728861 -4.41634225]
14,[-0.98427273],3.141456548094999,[-0.1767633   2.94012686  2.81391292 -4.96315678]
15,[-0.15039689],4.2234276121663665,[ 0.38582167  1.87438844  2.7531179  -5.77992064]
16,[0.09768623],5.245953094203979,[ 0.91912614  0.61331894  2.54354968 -6.7533707 ]
17,[-1.],6.995268673917447,[ 1.34458215 -0.71773374  1.46649719 -6.11865177]
18,[-0.97649712],9.206187607032351,[ 1.43505085 -1.73864526 -0.61616131 -4.04792314]
19,[-1.],9.545610056706318,[ 1.10759273 -2.33317156 -2.57154555 -1.89243424]
20,[-0.53716449],7.757438009599478,[ 0.45636809 -2.498554   -3.77700869  0.15770076]
21,[0.07391553],5.970859416779693,[-0.3309698  -2.30680624 -3.90264358  1.60513116]
22,[-0.42346426],4.284822353278308,[-1.03332164 -1.93788306 -3.0068049   1.89714285]
23,[0.71111414],2.33004752282268,[-1.51774082 -1.59069845 -1.81332305  1.43943041]
24,[-1.],1.1100311146777735,[-1.7417899  -1.44422668 -0.42962204 -0.03763602]
25,[1.],0.6902702885781701,[-1.70910953 -1.5645403   0.75824384 -1.16410002]
26,[0.253043],0.7583523132766683,[-1.42993453 -1.91676555  2.03880608 -2.29811543]
27,[1.],1.3487508155957404,[-0.89978488 -2.43411243  3.23587965 -2.77986794]
28,[-0.28955855],2.690295704503328,[-0.15942108 -3.01948808  4.02112497 -3.01036534]
29,[-1.],3.9522057511318325,[ 0.63304231  2.64474899  3.71379551 -3.1506626 ]
30,[0.75358098],3.2960116339713714,[ 1.26036626  2.0646139   2.49364158 -2.55079107]
31,[1.],1.7483096093986334,[ 1.62038221  1.67300546  1.10406898 -1.27565018]
32,[0.53472771],0.9253154666677387,[ 1.70671023  1.56553482 -0.23943906  0.2221921 ]
33,[0.55099858],0.7621762196116173,[ 1.52404942  1.75745604 -1.58957975  1.65085432]
34,[0.64392639],1.1161958880932472,[ 1.07018062  2.19597553 -2.93567918  2.62437655]
35,[1.],2.2132923148542245,[ 0.36660387  2.7674704  -3.99207131  2.9880408 ]
36,[1.],3.7387251256919978,[-0.45576856 -2.91597428 -4.02883595  2.98180939]
37,[1.],3.7028953295349236,[-1.17351465 -2.33819903 -3.04240352  2.73121366]
