,action,cost,state
64,[-0.62149039],-0.15279608119753318,[-1.27661406 -3.63504188  4.2502983  -1.72748554]
65,[-0.62108233],-0.13818336130722517,[-1.31296447 -3.67801569  4.23302345 -1.89934158]
66,[-0.62068836],-0.1237596052671975,[-1.34974463 -3.71987429  4.21403003 -2.06890604]
67,[-0.62031326],-0.1097135898786391,[-1.38694337 -3.7605721   4.19334097 -2.23591309]
68,[-0.61996333],-0.09621682091792447,[-1.4245491  -3.80008106  4.17098184 -2.40008231]
69,[-0.61964073],-0.08341991947235872,[-1.46254991 -3.83839227  4.14698102 -2.56111349]
70,[-0.61934619],-0.07144961408167413,[-1.50093383 -3.8755181   4.12136988 -2.71867999]
71,[-0.61908027],-0.06040645265069702,[-1.53968901 -3.91149458  4.09418308 -2.87242071]
72,[-0.61884516],-0.05036333147263543,[-1.57880396 -3.94638417  4.06545888 -3.02193071]
73,[-0.61864214],-0.041364912613563086,[-1.6182678  -3.98027844  4.03523957 -3.16675092]
74,[-0.61846943],-0.03342796927141769,[-1.65807058 -4.01330051  4.00357206 -3.30635736]
75,[-0.61832527],-0.0265426611530226,[-1.69820359 -4.045608    3.97050849 -3.44014911]
76,[-0.61820767],-0.020674701674413792,[-1.73865967 -4.07739575  3.936107   -3.56743604]
77,[-0.61811421],-0.015768336554462196,[-1.77943362 -4.10889828  3.90043263 -3.68742688]
78,[-0.61804181],-0.011750009536601953,[-1.82052261 -4.14039169  3.86355837 -3.79921878]
79,[-0.61857827],-0.008532550392392238,[-1.86192652 -4.17226959  3.82556618 -3.90164866]
80,[-0.6463664],-0.0060196852106773596,[-1.90364922 -4.20841257  3.78654969 -3.98674148]
81,[-0.98933205],-0.0041106651104905485,[-1.94573335 -4.29085754  3.74668228 -3.96961756]
82,[0.03787617],-0.002705453803648561,[-1.98864192 -4.23893468  3.7069861  -4.21602678]
83,[-0.07304194],-0.0017134878635975018,[-2.03103127 -4.20088339  3.66482583 -4.4278771 ]
84,[0.30434991],-0.0010237572994559218,[-2.0730401  -4.11005783  3.62054706 -4.74723396]
85,[1.],-0.0005710147111898003,[-2.11414068 -3.91882639  3.57307472 -5.28465688]
86,[-0.01075923],-0.0002906315686361776,[-2.15332894 -3.86908348  3.52022815 -5.50028883]
87,[0.60052565],-0.00012963221027892044,[-2.19201978 -3.73104885  3.46522527 -5.91168269]
88,[1.],-4.9629349250233655e-05,[-2.22933027 -3.53267819  3.40610844 -6.45993613]
89,[1.],-1.5031494276772207e-05,[-2.26465705 -3.33411635  3.34150908 -7.0032594 ]
90,[1.],-3.1045052114876598e-06,[-2.29799821 -3.13856556  3.27147648 -7.53115271]
91,[1.],-3.157378479597473e-07,[-2.32938387 -2.95024175  3.19616496 -8.02979347]
92,[1.],-4.7307438009786065e-09,[-2.35888629 -2.77418596  3.11586702 -8.48266857]
93,[1.],-7.925782862966895e-11,[-2.38662815 -2.6157674   3.03104034 -8.87226897]
94,[1.],-2.8544087359931136e-09,[-2.41278582 -2.47987856  2.94231765 -9.18283183]
95,[1.],-2.74245997871655,[-2.4375846  -2.36999003  2.85048933 -9.40351765]
96,[1.],-107.08785399562608,[-2.46128451 -2.28738957  2.75645415 -9.53087006]
97,[1.],-862.866419762463,[-2.4841584  -2.23092873  2.66114545 -9.56945098]
98,[1.],-3884.6812718013684,[-2.50646769 -2.19738336  2.56545094 -9.53035593]
99,[1.],-12633.211688081978,[-2.52844152 -2.18223923  2.47014738 -9.42835793]
100,[0.90230479],-33222.406083199145,[-2.55026391 -2.19324697  2.3758638  -9.25408238]
101,[-1.],-75113.15213520601,[-2.57219638 -2.4481559   2.28332298 -8.62454027]
102,[-1.],-151638.97521284412,[-2.59667794 -2.68656417  2.19707758 -8.04912016]
103,[-1.],-282256.60406828305,[-2.62354358 -2.90872592  2.11658637 -7.5246705 ]
104,[-1.],-491543.3839054849,[-2.65263084 -3.11565742  2.04133967 -7.04629537]
105,[-1.],-809495.6302902322,[-2.68378742 -3.30868255  1.97087672 -6.60869597]
106,[-1.],-1271117.6567588586,[-2.71687424 -3.48919204  1.90478976 -6.2068155 ]
107,[-1.],-1915705.7703050992,[-2.75176616 -3.65852528  1.8427216  -5.83610528]
108,[-1.],-2785892.582919142,[-2.78835142 -3.81791885  1.78436055 -5.49259865]
109,[-1.],-3926520.825500577,[-2.8265306  -3.96848975  1.72943456 -5.1728943 ]
110,[-1.],-5383412.762895518,[-2.8662155  -4.11123572  1.67770562 -4.8741017 ]
111,[-1.],-7202094.318987708,[-2.90732786 -4.2470432   1.6289646  -4.59377475]
112,[-1.],-9426524.156194141,[-2.94979829 -4.37669832  1.58302685 -4.32984606]
113,[-1.],-12097868.509632563,[-2.99356527 -4.50089818  1.53972839 -4.08056694]
114,[-1.],-15253353.357411595,[-3.03857426 -4.62026161  1.49892272 -3.84445486]
115,[-1.],-18925217.00363774,[-3.08477687 -4.73533877  1.46047818 -3.62024841]
116,[-1.],-23139778.645241126,[-3.13213026 -4.84661944  1.42427569 -3.40686926]
117,[-1.],-27916632.138559997,[-3.18059645 -4.95454031  1.390207   -3.20339007]
118,[-1.],-33267969.03444215,[-3.23014186 -5.05949108  1.3581731  -3.00900774]
119,[-1.],-39198031.000771895,[-3.28073677 -5.16181977  1.32808302 -2.82302095]
120,[-1.],-45702688.936329514,[-3.33235497 -5.26183718  1.29985281 -2.64481147]
121,[-1.],-52769144.29764311,[-3.38497334 -5.35982081  1.2734047  -2.47382861]
122,[-1.],-60375747.279702604,[-3.43857155 -5.45601821  1.24866641 -2.30957623]
123,[-1.],-68491926.36106457,[-3.49313173 -5.55064995  1.22557065 -2.15160205]
124,[-1.],-77078224.18223733,[-3.54863823 -5.6439122   1.20405463 -1.99948874]
125,[-1.],-86086435.60893486,[-3.60507735 -5.73597909  1.18405974 -1.85284671]
126,[-1.],-95459844.97902869,[-3.66243714 -5.82700477  1.16553127 -1.7113081 ]
127,[-1.],-105133560.79436176,[-3.72070719 -5.91712536  1.14841819 -1.57452199]
128,[-1.],-115034947.36126061,[-3.77987844 -6.00646063  1.13267297 -1.44215054]
129,[-1.],-125084153.98931193,[-3.83994305 -6.09511568  1.11825147 -1.31386588]
130,[-1.],-135194743.228298,[-3.90089421 -6.18318233  1.10511281 -1.18934769]
131,[-1.],-145274420.1786577,[-3.96272603 -6.2707406   1.09321933 -1.06828131]
132,[-1.],-155225865.09016368,[-4.02543343 -6.3578599   1.08253652 -0.95035632]
133,[-1.],-164947671.22218794,[-4.08901203 -6.44460031  1.07303296 -0.83526547]
134,[-1.],-174335389.24755388,[-4.15345804 -6.53101365  1.0646803  -0.72270385]
135,[-1.],-183282678.32441872,[-4.21876817 -6.61714454  1.05745326 -0.61236836]
136,[-1.],-191682562.3325815,[-4.28493962 -6.70303142  1.05132958 -0.50395737]
137,[-1.],-199428787.6782593,[-4.35196993 -6.78870746  1.04629    -0.39717042]
138,[-1.],-206417276.53070286,[-4.41985701 -6.87420146  1.0423183  -0.29170811]
139,[-1.],-212547666.39050055,[-4.48859902 -6.95953868  1.03940122 -0.18727208]
140,[-1.],-217724923.53822637,[-4.55819441 -7.04474166  1.0375285  -0.08356496]
141,[-1.],-221861014.21876228,[-4.62864183 -7.129831    1.03669285  0.01970954]
142,[-1.],-224876613.43816128,[-4.69994014 -7.21482608  1.03688994  0.12284659]
143,[-1.],-226702827.05621567,[-4.7720884  -7.29974583  1.03811841  0.22614016]
144,[-1.],-227282898.5333802,[-4.84508585 -7.38460942  1.04037981  0.32988294]
145,[-1.],-226573867.3362895,[-4.91893195 -7.46943702  1.04367864  0.43436621]
146,[-1.],-224548141.74111164,[-4.99362632 -7.55425047  1.0480223   0.53987986]
147,[-1.],-221194944.73809373,[-5.06916882 -7.63907405  1.0534211   0.6467123 ]
148,[-1.],-216521588.09578905,[-5.14555956 -7.72393518  1.05988823  0.75515043]
149,[-1.],-210554526.5752492,[-5.22279892 -7.80886524  1.06743973  0.86547974]
150,[-1.],-203340142.00338596,[-5.30088757 -7.8939003   1.07609453  0.9779844 ]
151,[-1.],-194945205.65628356,[-5.37982657 -7.97908194  1.08587437  1.09294743]
152,[-1.],-185456967.42737296,[-5.45961739 -8.06445814  1.09680385  1.21065105]
153,[-0.83001089],-174982821.84396493,[-5.54026197 -8.1316446   1.10891036  1.35241857]
154,[-0.72884026],-163649504.44832927,[-5.62157842 -8.18838786  1.12243454  1.50897625]
155,[1.],-151583501.28846306,[-5.7034623  -8.05983302  1.1375243   1.86952869]
156,[1.],-138948815.92889908,[-5.78406063 -7.9341946   1.15621959  2.22421466]
157,[1.],-125835954.81853594,[-5.86340257 -7.81204372  1.17846174  2.57192431]
158,[1.],-112537051.47552413,[-5.94152301 -7.69391388  1.20418098  2.91168734]
159,[1.],-99326425.80966951,[-6.01846215 -7.58029405  1.23329785  3.24269264]
160,[1.],-86454192.0124311,[-6.09426509 -7.47162241  1.26572478  3.56430348]
161,[1.],-74140961.97774091,[-6.16898131 -7.36828099  1.30136781  3.87606707]
162,[1.],-62573684.12088908,[-6.24266412 -7.27059149  1.34012849  4.17771783]
163,[1.],-51902657.867036745,[-6.31537004 -7.17881225  1.38190566  4.4691737 ]
164,[1.],-42239761.27516303,[-6.38715816 -7.09313643  1.4265974   4.75052527]
165,[1.],-33657918.758500434,[-6.45808953 -7.01369118  1.47410265  5.02201795]
166,[1.],-26191815.435557313,[-6.52822644 -6.94053749  1.52432283  5.28402738]
167,[1.],-19839834.25448205,[-6.59763181 -6.87367011  1.57716311  5.53702842]
168,[1.],-14567153.383076072,[-6.66636851 -6.81301707  1.63253339  5.78155804]
169,[1.],-10309897.27202312,[-6.73449868 -6.75843793  1.69034897  6.01817179]
170,[1.],-6980188.56911328,[-6.80208306 -6.70972011  1.75053069  6.24739324]
171,[1.],-4471902.902849083,[-6.86918026 -6.66657219  1.81300462  6.46965483]
172,[1.],-2666887.277672995,[-6.93584599 -6.62861331  1.87770117  6.68522805]
173,[-0.34890234],-1441367.756700446,[-7.00213212 -6.73502839  1.94455345  6.99962915]
174,[1.],-672245.2405098312,[-7.0694824  -6.70787137  2.01454974  7.20339172]
175,[1.],-237063.8103780593,[-7.13656112 -6.68409368  2.08658366  7.39959287]
176,[1.],-44250.46528238523,[-7.20340205 -6.66270439  2.16057959  7.5867804 ]
177,[0.79649569],-97.65866614340077,[-7.2700291  -6.66548931  2.23644739  7.79467824]
178,[-0.34361011],-30702.310875203075,[-7.33668399 -6.80232136  2.31439417  8.19902651]
179,[-1.],-83302.66691764403,[-7.4047072  -7.02663275  2.39638444  8.75933743]
180,[-1.],-125357.31456805175,[-7.47497353 -7.26410508  2.48397781  9.36214086]
181,[-1.],-139352.80515174396,[-7.54761458 -7.51362978  2.57759922 10.00591532]
182,[-1.],-122027.50985491263,[-7.62275088 -7.77232009  2.67765838 10.68371661]
183,[-1.],-83374.58423668607,[-7.70047408 -8.03454009  2.78449554 11.37982817]
184,[-1.],-41194.32468086206,[-7.78081948 -8.29083396  2.89829382 12.06595838]
185,[-1.],-11942.38905104972,[-7.86372782 -8.52728592  3.01895341 12.69882098]
186,[-1.],-999.2491042838591,[-7.94900068 -8.72635394  3.14594162 13.22278566]
187,[-1.],-0.001982398909814412,[-8.03626422 -8.87030899  3.27816947 13.58160222]
188,[-1.],-2348.511189007062,[-8.12496731 -8.94704036  3.4139855  13.73821884]
189,[-1.],-44025.00052113387,[-8.21443771 -8.95523563  3.55136768 13.69190309]
190,[-1.],-260278.16150153414,[-8.30399007 -8.90491781  3.68828671 13.47871507]
191,[-1.],-929043.9783878531,[-8.39303925 -8.81277287  3.82307387 13.15430144]
192,[-1.],-2471745.189884562,[-8.48116698 -8.6960348   3.95461688 12.77299139]
193,[-1.],-5407369.169899784,[-8.56812732 -8.56862425  4.08234679 12.37574304]
194,[-1.],-10280919.222002381,[-8.65381357 -8.44017459  4.20610422 11.98817884]
195,[-1.],-17591255.710312884,[-8.73821531 -8.31669693  4.32598601 11.62378078]
196,[-1.],-27732745.18332761,[-8.82138228 -8.20167384  4.44222382 11.28801262]
197,[-1.],-40954730.41363284,[-8.90339902 -8.09700866  4.55510395 10.9815823 ]
198,[-0.83001089],-57337748.15527938,[-8.98436911 -7.98653956  4.66491977 10.69585374]
199,[0.28698484],-76784026.38745931,[-9.0642345  -7.77652315  4.77187831 10.42571636]
