,action,cost,state
70,[0.],-5.986741478023421e-09,[ 0.68398147  0.94217532  3.15398428 -0.07049548]
71,[0.],-4.789991685422049e-09,[ 0.69340322  0.9413981   3.15327932 -0.07159464]
72,[0.],-3.766984116241008e-09,[ 0.7028172   0.94058059  3.15256337 -0.07242001]
73,[0.],-2.9076486549955687e-09,[ 0.71222301  0.9397222   3.15183917 -0.07296743]
74,[0.],-2.1990664823406783e-09,[ 0.72162023  0.93882252  3.1511095  -0.07323382]
75,[0.],-1.626288069077306e-09,[ 0.73100846  0.93788128  3.15037716 -0.07321716]
76,[0.],-1.1731371035813956e-09,[ 0.74038727  0.93689838  3.14964499 -0.07291659]
77,[0.],-8.229652069382142e-10,[ 0.74975625  0.93587391  3.14891582 -0.07233232]
78,[0.],-5.593277456415838e-10,[ 0.75911499  0.9348081   3.1481925  -0.0714657 ]
79,[0.],-3.665577141403195e-10,[ 0.76846307  0.93370137  3.14747784 -0.07031918]
80,[0.],-2.3022207984505283e-10,[ 0.77780009  0.93255429  3.14677465 -0.06889634]
81,[0.],-1.3745269016865242e-10,[ 0.78712563  0.9313676   3.14608569 -0.06720182]
82,[0.],-7.71513680706601e-11,[ 0.79643931  0.9301422   3.14541367 -0.06524139]
83,[0.],-4.007573797763282e-11,[ 0.80574073  0.92887916  3.14476126 -0.06302186]
84,[0.],-1.8818255859186867e-11,[ 0.81502952  0.92757968  3.14413104 -0.06055108]
85,[0.],-7.695574324593819e-12,[ 0.82430532  0.92624514  3.14352553 -0.05783791]
86,[0.],-2.568560395810918e-12,[ 0.83356777  0.92487705  3.14294715 -0.05489222]
87,[0.],-6.149083611675697e-13,[ 0.84281654  0.92347707  3.14239823 -0.05172479]
88,[0.],-7.63670449733308e-14,[ 0.85205131  0.92204697  3.14188098 -0.04834732]
89,[0.],-1.2438287787089693e-15,[ 0.86127178  0.92058869  3.1413975  -0.04477239]
90,[0.],-2.590656311755799e-16,[ 0.87047767  0.91910425  3.14094978 -0.04101338]
91,[0.],-3.027713894751836e-14,[ 0.87966871  0.9175958   3.14053965 -0.03708444]
92,[0.],-2.162567052113214e-13,[ 0.88884467  0.9160656   3.1401688  -0.03300043]
93,[0.],-7.172902804564037e-13,[ 0.89800532  0.914516    3.1398388  -0.02877688]
94,[0.],-1.6381901845551813e-12,[ 0.90715048  0.91294944  3.13955103 -0.02442991]
95,[0.],-2.98404784705716e-12,[ 0.91627998  0.91136843  3.13930673 -0.01997617]
96,[0.],-4.651824636656952e-12,[ 0.92539366  0.90977555  3.13910697 -0.01543281]
97,[0.],-6.450538846586192e-12,[ 0.93449142  0.90817346  3.13895264 -0.01081735]
98,[0.],-8.140132421296267e-12,[ 0.94357315  0.90656484  3.13884447 -0.00614769]
99,[0.],-9.478685394295636e-12,[ 9.52638801e-01  9.04952423e-01  3.13878299e+00 -1.44198115e-03]
100,[0.],-1.0268263389493205e-11,[0.96168832 0.90333896 3.13876857 0.00328143]
101,[0.],-1.039122105297017e-11,[0.97072171 0.90172723 3.13880138 0.00800404]
102,[0.],-9.83105942552544e-12,[0.97973899 0.90012002 3.13888142 0.01270733]
103,[0.],-8.674711139353783e-12,[0.98874019 0.89852009 3.1390085  0.01737274]
104,[0.],-7.0961320506528975e-12,[0.99772539 0.8969302  3.13918223 0.02198185]
105,[0.],-5.324025909064262e-12,[1.00669469 0.89535309 3.13940204 0.02651637]
106,[0.],-3.59914283612379e-12,[1.01564822 0.89379146 3.13966721 0.03095824]
107,[0.],-2.1286256173084816e-12,[1.02458614 0.89224794 3.13997679 0.03528972]
108,[0.],-1.0461318233258163e-12,[1.03350861 0.89072514 3.14032969 0.03949342]
109,[0.],-3.868005964066245e-13,[1.04241587 0.88922556 3.14072462 0.04355242]
110,[0.],-8.550150513253847e-14,[1.05130812 0.88775165 3.14116015 0.04745029]
111,[0.],-5.220053444320748e-15,[1.06018564 0.88630576 3.14163465 0.05117119]
112,[0.],-4.595456717281674e-19,[1.0690487  0.88489015 3.14214636 0.05469992]
113,[0.],-1.3754048813233004e-14,[1.0778976  0.88350695 3.14269336 0.05802197]
114,[0.],-2.1268471749872883e-13,[1.08673267 0.88215821 3.14327358 0.06112362]
115,[0.],-1.1453593266045392e-12,[1.09555425 0.88084581 3.14388482 0.06399193]
116,[0.],-3.920862815227141e-12,[1.10436271 0.87957154 3.14452474 0.06661488]
117,[0.],-1.0392329799872593e-11,[1.11315842 0.87833702 3.14519088 0.06898134]
118,[0.],-2.3330720698198457e-11,[1.12194179 0.87714373 3.1458807  0.07108117]
119,[0.],-4.6572253404616097e-11,[1.13071323 0.87599302 3.14659151 0.07290522]
120,[0.],-8.512259286879395e-11,[1.13947316 0.87488604 3.14732056 0.07444543]
121,[0.],-1.452018462226898e-10,[1.14822202 0.8738238  3.14806502 0.07569479]
