,action,cost,state
181,[-0.81544353],-3.395937956025072,[-0.56904852  0.52770686  0.19096598 -0.28806882]
182,[-0.63960399],-3.4075354360301824,[-0.56377145  0.4374199   0.18808529 -0.46308527]
183,[0.28032076],-3.4185681721093233,[-0.55939725  0.49117009  0.18345444 -0.28517646]
184,[-0.397998],-3.429070751701297,[-0.55448555  0.43829301  0.18060268 -0.37036503]
185,[0.72624632],-3.4392833111438623,[-0.55010262  0.56175323  0.17689903 -0.02263716]
186,[-0.47783992],-3.449040567532761,[-0.54448509  0.49583151  0.17667265 -0.14166698]
187,[0.38183907],-3.4586867422112495,[-0.53952677  0.56503564  0.17525598  0.07179809]
188,[-0.34537276],-3.4678784919140515,[-0.53387641  0.51981066  0.17597397  0.00327298]
189,[-0.53986466],-3.4768514362417418,[-0.52867831  0.44414764  0.17600669 -0.13998432]
190,[-0.94305203],-3.4854165128226344,[-0.52423683  0.305253    0.17460685 -0.43886948]
191,[0.06465922],-3.493555846569745,[-0.5211843   0.32475662  0.17021816 -0.34820333]
192,[0.32368511],-3.501185355808978,[-0.51793673  0.38478053  0.16673612 -0.15872519]
193,[0.38053008],-3.5085176309570625,[-0.51408893  0.45354622  0.16514887  0.0515492 ]
194,[-0.86991651],-3.51565711673085,[-0.50955347  0.32526766  0.16566436 -0.22442377]
195,[-0.08615302],-3.5226292812868616,[-0.50630079  0.32060227  0.16342013 -0.19544274]
196,[0.07279027],-3.5291172275650546,[-0.50309477  0.34085735  0.1614657  -0.1055384 ]
197,[-0.06204637],-3.5353239299666277,[-0.49968619  0.33974655  0.16041031 -0.06881146]
198,[-0.28837224],-3.5413013086955467,[-0.49628873  0.30291543  0.1597222  -0.12049509]
199,[-0.32068618],-3.547019795494909,[-0.49325957  0.26100313  0.15851725 -0.18489685]
